topic_id,unit_id,subject_id,topic_name,description,objectives,NCERT_alignment,NGSS_alignment,SCERT_alignment
OS_PH_HS_04_02,OS_PH_HS_04,OS_PH_HS,Newton's first law of Motion: Inertia,"Newton's first law of motion states that an object will remain at rest or continue to move in a straight line at a constant velocity unless acted upon by an external force. This law emphasizes the concept of inertia, which is the tendency of an object to resist changes in its state of motion. It explains that motion does not require a force to continue but rather a force to change.
 
Mass is the quantity of matter in a substance.
Friction is a force that opposes motion and causes an object or system to slow down.","[
  {
  ""objective"": ""Describe Newton's first law and friction."",
  ""dimensions"": {
  ""cognitive"": [""cg_01"", ""cg_02""],
  ""knowledge"": [""kw_01"", ""kw_02""]
  }
  },
  {
  ""objective"": ""Discuss the relationship between mass and inertia."",
  ""dimensions"": {
  ""cognitive"": [""cg_01"", ""cg_02""],
  ""knowledge"": [""kw_01"", ""kw_02""]
  }
  }
  ]","[
  ""NCERT_SC_09_08_02"",
  ""NCERT_SC_09_08_03""
  ]",,
OS_PH_HS_04_03,OS_PH_HS_04,OS_PH_HS,Newton's second law of motion,"Acceleration is a change in velocity, meaning a change in speed, direction, or both.
An external force acts on a system from outside the system, as opposed to internal forces, which act between components within the system.
 
Newton's second law of motion states that the acceleration of an object is directly proportional to the net force acting on it, inversely proportional to its mass, and occurs in the direction of the net force. This law explains how the motion of an object changes when subjected to external forces.
 
If the only force acting on an object is its weight, then the object is in freefall.","[
  {
  ""objective"": ""Describe Newton's second law, both verbally and mathematically"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"", ""cg_03""],
  ""knowledge"": [""kw_01"", ""kw_02""]
  }
  },
  {
  ""objective"": ""Use Newton's second law to solve problems"",
  ""dimensions"": {
  ""cognitive"": [""cg_03"", ""cg_04""],
  ""knowledge"": [""kw_02"", ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_08_04""
  
  ]",,
OS_PH_HS_04_04,OS_PH_HS_04,OS_PH_HS,Newton's Third law of motion,"Newton's third law of motion states that whenever a first object exerts a force on a second object, the first object experiences a force equal in magnitude but opposite in direction to the force that it exerts. Forces always occur in pairs, the two forces act in opposite directions and on different objects that's why don't get cancelled.
 
When an object rests on a surface, the surface applies a force on the object that opposes the weight of the object. This force acts perpendicular to the surface and is called the normal force.
The pulling force that acts along a stretched flexible connector, such as a rope or cable, is called tension. When a rope supports the weight of an object at rest, the tension in the rope is equal to the weight of the object.
Thrust is a force that pushes an object forward in response to the backward ejection of mass by the object. Rockets and airplanes are pushed forward by thrust.
 
Application of Newton's third law of motion
Forces are classified based on their source, transmission, or effects, such as push, weight, and friction. Newton's third law helps us understand additional forces like the normal force, tension, and thrust. The gravitational force (or weight) acts everywhere on Earth, but objects do not constantly fall toward Earth's center due to the normal force. The normal force is an outward force exerted by a surface perpendicular to it, preventing objects from penetrating the surface. On a horizontal surface, if the object is at rest and not accelerating, the normal force equals the weight (W =mg) but acts in the opposite direction. Tension, derived from the Latin word for ""stretch,"" is the pulling force transmitted along a flexible connector like a string, rope, or chain. It acts parallel to the connector's length and in opposite directions at its ends due to a series of action-reaction forces.","[
  {
  ""objective"": ""Describe Newton's third law of motion."",
  ""dimensions"": {
  ""cognitive"": [""cg_02"", ""cg_03""],
  ""knowledge"": [""kw_01"", ""kw_02""]
  }
  },
  {
  ""objective"": ""Use Newton's third law to solve problems"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"", ""cg_03""],
  ""knowledge"": [ ""kw_02""]
  }
  }
  ]","[
  ""NCERT_SC_09_08_05""
  ]",,
OS_PH_HS_05_01,OS_PH_HS_05,OS_PH_HS,Vector addition and subtraction: Graphical Methods,"A vector is a quantity with both magnitude and direction, such as displacement, velocity, acceleration, and force. In one-dimensional motion, direction is indicated with a positive or negative sign, while in two dimensions, vectors have horizontal and vertical components represented within a coordinate system. Vectors are graphically depicted as arrows proportional to their magnitude and pointing in their direction. The head-to-tail method is used to add vectors: place the tail of each subsequent vector at the head of the previous one, and the resultant vector connects the tail of the first to the head of the last. The magnitude of the resultant can be measured graphically or calculated using the Pythagorean theorem, and its direction is determined with a protractor or trigonometry. For example, a person walking nine blocks east and five blocks north has a resultant displacement that is the shortest straight-line distance between their start and end points, regardless of the order of travel. 
 
Variables in physics problems, such as force or velocity, can be represented with vectors by making the length of the vector proportional to the magnitude of the force or velocity.
Problems involving displacement, force, or velocity may be solved graphically by measuring the resultant vector's magnitude with a ruler and measuring the direction with a protractor.","[
 {
 ""objective"": ""Describe the graphical method of vector addition and subtraction"",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Use the graphical method of vector addition and subtraction to solve problems."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_PH_11_03_04""
 
 ]",,
OS_PH_HS_05_02,OS_PH_HS_05,OS_PH_HS,Vector addition and subtraction: Analytical Methods,"Analytical methods for vector addition and subtraction involve resolving vectors into their components along mutually perpendicular axes, usually the x-axis and y-axis. For vector addition, the individual components of all vectors along each axis are summed to find the resultant vector's components. The magnitude of the resultant vector is calculated using the Pythagorean theorem, and its direction is determined using trigonometric functions like tan_1(opposite/adjacent). Subtraction of vectors is performed by adding the negative of the vector to be subtracted, where the negative of a vector is obtained by reversing its direction. Analytical methods are precise and allow for the computation of the resultant vector's magnitude and direction without requiring graphical techniques, making them highly useful in physics and engineering problems.","[
 {
 ""objective"": ""Define componenets of vectors."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Describe the analytical method of vector addition and subtraction."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 { 
 ""objective"": ""Use the analytical method of vector addition and subtraction to solve problems"", 
 ""dimensions"": { 
 ""cognitive"": [""cg_02"", ""cg_03""], 
 ""knowledge"": [""kw_01"", ""kw_03""] 
 } 
 }
 ]","[
 ""NCERT_PH_11_03_05"",
 ""NCERT_PH_11_03_06""
 ]",,
OS_PH_HS_05_03,OS_PH_HS_05,OS_PH_HS,Projectile motion,"Projectile motion refers to the motion of an object that is launched into the air, where after the initial force propelling it, the only force acting on the object is gravity, assuming air resistance is negligible. Such an object is called a projectile, and the path it follows is known as its trajectory. Air resistance, which is a frictional force, can slow the object down and significantly alter its trajectory. However, in basic physics, air resistance is typically ignored for simplicity, as this assumption often yields accurate results for many scenarios. 
A key principle of projectile motion is that, in the absence of air resistance, horizontal and vertical motions are independent of one another, meaning they do not affect each other. For example, a cannonball in free fall (falling straight down) will descend at the same rate as one launched horizontally, despite the latter having motion along the horizontal axis. If the cannonball is launched with an initial vertical velocity, the vertical motion would differ, but the independence of the two motions still holds. To analyze projectile motion, we break it into two components: one along the horizontal axis and the other along the vertical axis, treating each separately.","[
 {
 ""objective"": ""Describe Properties of projectile motion."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Mathematical formulation of projectile motion."", ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_02"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_PH_11_03_09""
 ]",,
OS_PH_HS_05_04,OS_PH_HS_05,OS_PH_HS,Inclined planes,"Working on inclined planes involves analyzing the forces acting on an object placed on a sloped surface. The object's weight can be broken down into two components: one acting along the incline, which causes the object to slide downward, and one acting perpendicular to the incline, which is balanced by the surface. The force along the incline depends on the angle of the slope and the object's weight, while the perpendicular force determines the contact force between the object and the plane. Friction may act along the incline to resist motion, depending on the surface texture and the force pressing the object against the plane. This concept is applied in designing ramps, roads, and mechanical systems to manage loads effectively.","[
 {
 ""objective"": ""Differentiate between static friction and kinetic friction."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Defining inclined plane force components."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_02"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_SC_08_09_01"",
 ""NCERT_SC_08_09_02"",
 ""NCERT_SC_08_09_03"",
 ""NCERT_SC_08_09_04"",
 ""NCERT_SC_08_09_05"",
 ""NCERT_SC_08_09_06"",
 ""NCERT_PH_11_04_09""
 ]",,
OS_PH_HS_05_05,OS_PH_HS_05,OS_PH_HS,Simple Harmonic motion,"Hooke's law states that the restoring force exerted by an elastic material, such as a spring, is directly proportional to the displacement of the object from its equilibrium position, as long as the deformation is within the material's elastic limit. This means that the further the object is stretched or compressed, the greater the restoring force acting in the opposite direction. Hooke's law explains the behavior of springs, elastic bands, and other elastic systems.
Simple Harmonic Motion is a type of periodic motion where an object oscillates about its equilibrium position under a restoring force that is directly proportional to its displacement and acts in the opposite direction. This motion is regular, repetitive, and sinusoidal in nature, with a constant amplitude, frequency, and period. Examples of SHM include the motion of a pendulum (for small angles) and the vibrations of a mass attached to a spring.
Oscillations refer to any repetitive back-and-forth motion about an equilibrium position. They may or may not be regular in nature. Oscillations can occur in various systems, such as a swinging pendulum, a vibrating guitar string, or water waves. Oscillatory motion involves the transfer of energy between kinetic and potential forms, depending on the position of the system during the cycle.
Periodic motion is any motion that repeats itself in a fixed time interval, called the period. It is a broader category of motion that includes oscillations and SHM. Examples of periodic motion include the rotation of the Earth, the orbit of planets, and the rhythmic movement of a clock's pendulum. All simple harmonic motion is periodic, but not all periodic motion is harmonic.
Simple Harmonic Motion has wide-ranging applications in science and engineering. It is fundamental in the design of oscillatory systems like clocks, springs, and pendulums. It is also used to model wave behavior in acoustics, light, and water. SHM is critical in engineering systems such as suspension bridges, shock absorbers in vehicles, and seismic sensors. Additionally, it is essential in understanding molecular vibrations and resonance phenomena in physics and chemistry.","[
 {
 ""objective"": ""Define Hooke's law and SHM."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Describe oscillations and Periodic motion."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Application of SHM"",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_PH_11_13_01"",
 ""NCERT_PH_11_13_02"",
 ""NCERT_PH_11_13_03"",
 ""NCERT_PH_11_13_04"",
 ""NCERT_PH_11_13_05"",
 ""NCERT_PH_11_13_06"",
 ""NCERT_PH_11_13_07"",
 ""NCERT_PH_11_13_08""
 ]",,
OS_PH_HS_06_01,OS_PH_HS_06,OS_PH_HS,Angle of Rotation and angular velocity,"The angle of rotation is a measure of the total amount of rotation undergone by an object, typically measured in radians. It is the angular equivalent of distance in linear motion and helps describe how far an object has rotated about a fixed axis. The angle of rotation can be positive or negative, depending on the direction of rotation (counterclockwise is usually considered positive).
Angular velocity, on the other hand, represents the rate at which an object rotates or changes its angle of rotation over time. It describes how quickly an object is spinning and is also measured in radians per second. Angular velocity is a vector quantity, with its direction determined by the axis of rotation, following the right-hand rule. Together, these concepts form the foundation for understanding rotational motion and are key to analyzing systems involving spinning objects, such as wheels, planets, or turbines.","[
 {
 ""objective"": ""Describe the angle of rotation and relate it to its linear counterpart"",
 ""dimensions"": {
 ""cognitive"": [""cg_02"",""cg_03"", ""cg_04""],
 ""knowledge"": [""kw_02"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Describe angular velocity and relate it to its linear counterpart"",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Solve problems involving angle of rotation and angular velocity"",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_PH_11_06_06""
 ]",,
OS_PH_HS_06_02,OS_PH_HS_06,OS_PH_HS,Uniform circular motion,"In circular motion, centripetal acceleration refers to the acceleration directed toward the center of the circle along which an object moves. This acceleration is responsible for changing the direction of the object's velocity, keeping it in circular motion, even if its speed remains constant. The magnitude of centripetal acceleration a is given by the formula:
a = (v* v)/r
where v - object's linear speed, and r is the radius of the circular path.Unlike linear acceleration, which pertains to changes in the magnitude of velocity in straight-line motion, centripetal acceleration involves changes in the direction of velocity, maintaining the object's circular trajectory.
Centripetal force is the net force causing the centripetal acceleration of an object in circular motion. It acts perpendicular to the object's linear velocity and points toward the center of the circle. The magnitude of centripetal force (Fc) can be expressed as: 
F = ma 
where m is the object's mass. This force is essential for maintaining circular motion and differs from linear force, which causes linear acceleration in straight-line motion.","[
 {
 ""objective"": ""Describe centripetal acceleration and relate it to linear acceleration."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_04""],
 ""knowledge"": [""kw_02"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Describe centripetal force and relate it to linear force."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Solve problems involving centripetal acceleration and centripetal force."",
 ""dimensions"": {
 ""cognitive"": [""cg_02"", ""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_PH_11_06_01"",
 ""NCERT_PH_11_06_08"" 
 ]",,
